Variant,Cycle,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Scale 0.1,88,3.0509739769996425e-08,1.0859067302922497e-10,2.1152029520718883e-08,3.950228692958084,3.666790287357194,5.1335064023035955,0.2850587600185656,0.9832287660418473,3.9518490473757595
Scale 0.1,89,3.0617963145187464e-08,1.0822337519103871e-10,2.1165626876888432e-08,3.949572153798585,3.666077191418717,5.132508067981689,0.2851145551640765,0.9836173967155588,3.9511917465827935
Scale 0.1,90,3.072582309442378e-08,1.0785994923631466e-10,2.1179236139612232e-08,3.9489157105934822,3.6653650058324097,5.13151100816242,0.28516943361956304,0.9840003234293988,3.950534439451973
Scale 0.1,91,3.083332341571804e-08,1.0750032129426393e-10,2.1192857323802624e-08,3.9482592511045627,3.664653719671245,5.130515207540037,0.2852233190734509,0.9843768512199347,3.949877038744696
Scale 0.1,92,3.09404678395175e-08,1.0714442379945722e-10,2.1206490443821083e-08,3.947602691967492,3.663943308893673,5.129520632451754,0.2852761861461595,0.9847468899575915,3.9492194950398325
Scale 0.1,93,3.104726002105013e-08,1.0679218153262918e-10,2.1220135513628147e-08,3.9469459748038536,3.66323378551804,5.128527299724432,0.285327868871487,0.9851089856077095,3.9485616543895268
Scale 0.1,94,3.115370355489587e-08,1.0644353384574434e-10,2.1233792546570575e-08,3.9462889531376018,3.662525037190115,5.127535052069895,0.28537849739013615,0.9854637854592454,3.9479035345802513
Scale 0.1,95,3.125980196974789e-08,1.0609841485201402e-10,2.124746155589016e-08,3.945631646103733,3.661817135915114,5.126543990280169,0.285427906082583,0.9858104430097256,3.947245041997697
Scale 0.1,96,3.136555872787814e-08,1.0575675813025118e-10,2.1261142554294602e-08,3.9449739538535207,3.661110025755819,5.125554036062439,0.2854760496116745,0.9861482463520161,3.9465860753674935
Scale 0.1,97,3.1470977230009005e-08,1.0541850213086624e-10,2.127483555401472e-08,3.944315779881661,3.6604036818645143,5.124565154609755,0.2855229058240164,0.9864768939113162,3.9459265876885308
Scale 0.1,98,3.1576060820403545e-08,1.0508359039454063e-10,2.1288540567091326e-08,3.943657076280397,3.659698095470646,5.123577333661743,0.2855684763049568,0.9867964790891648,3.945266571775603
Scale 0.1,99,3.168081278429811e-08,1.047519638945658e-10,2.130225760564994e-08,3.9429978356609134,3.6589932306445374,5.122590522903025,0.2856127277612448,0.9871065056220658,3.9446059584057824
